Instrument,Date,Time,Open,High,Low,Close,VWAP,Range,ClosePercent
NFO:NIFTY2641324100CE,2026-04-10,14:10,114.45,118.95,92.75,106.1,103.26,26.20,50.95
NFO:NIFTY2641324100CE,2026-04-10,14:15,104.9,104.9,69.65,93.0,102.74,35.25,66.24
NFO:NIFTY2641324100CE,2026-04-10,14:20,93.0,98.6,78.4,79.4,102.32,20.20,4.95
NFO:NIFTY2641324100CE,2026-04-10,14:25,79.4,80.95,75.05,79.4,101.72,5.90,73.73
NFO:NIFTY2641324100CE,2026-04-10,14:30,79.4,87.0,78.1,82.5,101.32,8.90,49.44
NFO:NIFTY2641324100CE,2026-04-10,14:35,82.4,85.5,76.5,81.7,100.98,9.00,57.78
NFO:NIFTY2641324100CE,2026-04-10,14:40,81.7,91.05,80.9,89.85,100.71,10.15,88.18
NFO:NIFTY2641324100CE,2026-04-10,14:45,88.85,106.7,84.55,105.25,100.49,22.15,93.45
NFO:NIFTY2641324100CE,2026-04-10,14:50,105.25,105.25,93.25,95.35,100.43,12.00,17.50
NFO:NIFTY2641324100CE,2026-04-10,14:55,95.35,101.55,95.3,96.45,100.39,6.25,18.40
NFO:NIFTY2641324100CE,2026-04-10,15:00,96.45,112.8,96.45,112.0,100.42,16.35,95.11
NFO:NIFTY2641324100CE,2026-04-10,15:05,112.65,124.0,111.75,121.3,100.86,12.25,77.96
NFO:NIFTY2641324100CE,2026-04-10,15:10,121.3,131.3,120.0,121.75,101.63,11.30,15.49
NFO:NIFTY2641324100CE,2026-04-10,15:15,121.75,123.7,114.65,119.4,102.15,9.05,52.49
NFO:NIFTY2641324100CE,2026-04-10,15:20,119.4,120.6,114.8,118.05,102.39,5.80,56.03
NFO:NIFTY2641324100CE,2026-04-10,15:25,118.05,119.85,114.05,115.6,102.58,5.80,26.72
NFO:NIFTY2641324100CE,2026-04-10,15:30,115.6,119.85,114.05,115.6,102.58,5.80,26.72

NFO:NIFTY2641324050CE,2026-04-10,10:45,130.45,132.5,124.75,125.6,122.36,7.75,10.97
NFO:NIFTY2641324050CE,2026-04-10,10:50,125.6,127.35,122.85,124.1,122.50,4.50,27.78
NFO:NIFTY2641324050CE,2026-04-10,10:55,124.1,130.0,117.0,128.85,122.50,13.00,91.15
NFO:NIFTY2641324050CE,2026-04-10,11:00,128.85,134.55,127.4,130.4,122.83,7.15,41.96
NFO:NIFTY2641324050CE,2026-04-10,11:05,130.0,134.05,125.8,133.75,123.08,8.25,96.36
NFO:NIFTY2641324050CE,2026-04-10,11:10,133.75,136.8,131.35,132.75,123.42,5.45,25.69
NFO:NIFTY2641324050CE,2026-04-10,11:15,132.75,134.3,121.9,126.3,123.70,12.40,35.48
NFO:NIFTY2641324050CE,2026-04-10,11:20,126.3,128.75,123.75,125.4,123.75,5.00,33.00
NFO:NIFTY2641324050CE,2026-04-10,11:25,125.65,130.55,121.2,121.75,123.81,9.35,5.88
NFO:NIFTY2641324050CE,2026-04-10,11:30,121.65,130.55,121.2,121.75,123.81,9.35,5.88
NFO:NIFTY2641324050CE,2026-04-10,11:35,121.65,128.8,121.65,126.6,123.85,7.15,69.23
NFO:NIFTY2641324050CE,2026-04-10,11:40,126.9,127.95,119.8,121.2,123.87,8.15,17.18
NFO:NIFTY2641324050CE,2026-04-10,11:45,121.2,123.2,114.45,116.6,123.78,8.75,24.57
NFO:NIFTY2641324050CE,2026-04-10,11:50,116.6,120.1,109.25,112.45,123.61,10.85,29.49
